RA,Dec,Vmag,Bmag,B-V
92.302475,24.498007,15.9066,16.7964,0.8898
92.222249,24.498113,17.1363,18.0268,0.8905
92.330878,24.497115,15.5022,16.2966,0.7944
92.330903,24.497108,15.501,16.2966,0.7956
92.239929,24.496529,15.5303,16.324,0.7937
92.128473,24.495882,15.5382,16.1904,0.6522
92.398443,24.496973,15.9018,17.0935,1.1917
92.146135,24.496075,16.9753,18.0324,1.0571
92.358712,24.496704,16.6332,17.682,1.0488
92.266761,24.495739,16.2015,16.9941,0.7926
91.999564,24.494114,16.034,16.6772,0.6432
92.525054,24.496211,16.4305,17.3557,0.9252
92.495921,24.496277,16.4216,17.1781,0.7565
92.454243,24.49514,14.8301,16.4016,1.5715
92.325557,24.49485,15.3167,16.512,1.1953
92.057014,24.493905,16.4256,17.0393,0.6137
92.178579,24.494137,15.811,16.7988,0.9878
92.162073,24.49445,17.0074,17.8784,0.871
92.074756,24.494049,17.0797,17.973,0.8933
91.999563,24.494117,16.0338,16.6772,0.6434
92.365327,24.494489,15.6183,16.5454,0.9271
92.04331,24.493223,16.4349,17.2674,0.8325
92.405727,24.494502,16.2134,17.1293,0.9159
92.477859,24.494739,16.94,17.7673,0.8273
92.476129,24.494274,17.0301,18.0623,1.0322
92.350569,24.492094,11.9271,12.3313,0.4042
92.094166,24.492668,15.7135,16.5246,0.8111
92.001663,24.491969,16.2888,17.0234,0.7346
92.001668,24.49197,16.2887,17.0234,0.7347
92.437664,24.494277,11.2999,12.5703,1.2704
92.43765,24.494276,11.2999,12.5699,1.27
92.382581,24.493215,14.5244,15.4072,0.8828
92.13056,24.491173,13.218,13.8456,0.6276
92.113656,24.491742,15.2038,16.095,0.8912
92.050329,24.491031,14.0613,14.6534,0.5921
92.551206,24.493754,16.8617,17.6782,0.8165
92.51835,24.492602,14.7735,15.5956,0.8221
92.47049,24.492938,14.6355,15.4449,0.8094
92.470507,24.49294,14.6353,15.4449,0.8096
92.098669,24.490827,12.8602,13.3692,0.509
92.258912,24.49199,15.9269,16.881,0.9541
92.426206,24.492243,15.3531,16.2764,0.9233
92.200171,24.49175,16.6248,18.0405,1.4157
92.141651,24.49128,16.6571,17.3329,0.6758
92.373665,24.490557,11.3235,11.6355,0.312
92.215612,24.491476,15.8967,16.7567,0.86
92.288111,24.48944,10.8541,11.0988,0.2447
92.0294,24.489811,15.3242,16.5337,1.2095
92.491446,24.491482,15.6457,16.4218,0.7761
92.463631,24.491661,16.162,17.1287,0.9667
92.42244,24.491888,16.895,17.8627,0.9677
92.342795,24.490492,13.59,14.2718,0.6818
92.405123,24.491384,16.1356,16.9961,0.8605
92.111396,24.490173,16.7491,17.7583,1.0092
92.454551,24.490793,15.3943,15.9785,0.5842
92.06077,24.489332,16.2467,17.4893,1.2426
92.472108,24.491048,16.606,17.5536,0.9476
92.176631,24.488795,14.1406,14.8285,0.6879
